m,n,h,time,task,,Running Time (ms),Task One,Task Two,,,,,,
10,10,3,4,1,10,10X10,4,4,,,,,,
m,n,h,time,task,10,100X100,6,7,,,,,,
10,10,3,4,2,100,1000X1000,55,26,,,,,,
m,n,h,time,task,100,250X250,11,11,,,,,,
10,10,3,5,3,1000,500X500,13,15,,,,,,
m,n,h,time,task,1000,210X78,7,7,,,,,,
10,10,3,5,4,250,212X119,4,3,,,,,,
m,n,h,time,task,,,,,,,,,,
10,10,3,5,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
100,100,3,6,1,,Running Time (ms),Task Three,Task Four,Task Five,,Running Time (ms),Task Three,Task Four,Task Five
m,n,h,time,task,,10X10,5,5,5,,1000X1000,2030138,176,147
100,100,3,7,2,,100X100,1536,19,15,,250X250,66636,49,39
m,n,h,time,task,,210X78,4173,20,22,,500X500,2500000,119,96
100,100,3,1536,3,,212X119,2320,21,20,,,,,
m,n,h,time,task,,,,,,,,,,
100,100,3,19,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
100,100,3,15,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
1000,1000,3,55,1,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
1000,1000,3,26,2,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
1000,1000,3,9999999,3,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
1000,1000,3,176,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
1000,1000,3,147,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
250,250,-50,11,1,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
250,250,-50,11,2,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
250,250,-50,66636,3,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
250,250,-50,49,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
250,250,-50,39,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
500,500,0,23,1,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
500,500,0,15,2,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
500,500,0,2030138,3,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
500,500,0,119,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
500,500,0,96,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
210,78,0,7,1,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
210,78,0,7,2,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
210,78,0,4173,3,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
210,78,0,20,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
210,78,0,22,5,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
212,119,1,4,1,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
212,119,1,3,2,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
212,119,1,2320,3,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
212,119,1,21,4,,,,,,,,,,
m,n,h,time,task,,,,,,,,,,
212,119,1,20,5,,,,,,,,,,
